Ages,Int.Ages
0,0
1,1
1,1
1.5,1
2,2
2.5,2
3,3
3.5,3
4,4
4.5,4
5,5
5.5,5
6,6
7,7
8,8
8.5,8
9,9
10,10
11,11
13,13
66,NA
-,NA
.3+,3
?,NA
>2+,NA
>6+,NA
0+,0
0++,0
1?,NA
1+,1
1+?,NA
1++,1
10*,10
10+,10
10++,10
11+,11
11++,11
12++,12
2*,2
2?,NA
2+,2
2+(?),NA
2+?,NA
2++,2
2S+,3
2s+,3
2SPWN+,3
2SS+,4
2SSS+,5
2SSSS+,6
3*,3
3?,NA
3+,3
3+?,NA
3+_,3
3++,3
3+3,3
3+or4+,NA
3s,4
3S,4
3S+,4
3SS+,5
3SSS+,6
4*,4
4+,4
4+?,NA
4++,4
4+5+,NA
5*,5
5+,5
5++,5
5or6,NA
6*,6
6+,6
6++,6
7*,7
7+,7
7++,7
8*,8
8+,8
8++,8
9*,9
9+,9
9++,9
ads,NA
MF,NA
NA,NA
NoAge,NA
Noage,NA
NOOTO,NA
U,NA
UN,NA
UNK,NA
