Species,stock_strain_loc_name,Strain,N
ACT,BELLA COOLA RIVER,BELLA COOLA RIVER,5
ACT,CHEHALIS R,CHEHALIS R,1
ACT,COLQUITZ R,COLQUITZ R,8
ACT,FRASER R,FRASER R,9
ACT,FULFORD CREEK,FULFORD CREEK,9
ACT,SANDHILL CREEK,SANDHILL CREEK,2
ACT,SEYMOUR R,SEYMOUR R,1
AS,MIRAMICHI RIVER,MIRAMICHI RIVER,24
AS,UNKNOWN,UNKNOWN,19
BL,JASPER,JASPER,2
BS,"BAY-OF-QUINTE, ONTARIO","BAY-OF-QUINTE, ONTARIO",10
BS,KOOTENAY,KOOTENAY,2
BT,HILL CRK,HILL,1
BT,UPPER ARROW,UPPER ARROW,1
CRS,KIAKHO,KKH,1
CRS,MONROE,MO,26
CRS,PEAVINE CREEK,PEAVINE CREEK,1
CRS,ROSEBUD,ROSEBUD,1
CRS,UNKNOWN,UNKNOWN,1
CT,COWICHAN LAKE,COWICHAN LAKE,113
CT,ELK,ELK,5
CT,HORNE,HORNE,73
CT,LOON,LOON,4
CT,MILLARD CREEK,MILLARD CREEK,6
CT,PAQ CREEK,PAQ CREEK,272
CT,POWELL LAKE,POWELL LAKE,9
CT,QUINSAM R,QUINSAM R,6
CT,SALMON RIVER,SALMON RIVER,13
CT,SOCKEYE CREEK,SOCKEYE CREEK,1
CT,TAYLOR R,TAYLOR R,2346
CT,UNKNOWN,UNKNOWN,274
DV,HOMATHKO RIVER,HOMATHKO RIVER,1
DV,UNKNOWN,UNKNOWN,1
EB,AYLMER,AYL,4787
EB,BIG SHEEP CREEK,BIG SHEEP CREEK,2
EB,BOUNDARY,BND,257
EB,CAMERON,CAMERON,3
EB,GODSRIVER,GODSRIVER,1
EB,LOON,LOON,8
EB,MEADOW CRK,MD,1
EB,PLAID LAKE,PLAID LAKE,1
EB,SPECTACLE,SPEC,29
EB,UNKNOWN,UNK,489
EB,VIOLIN LAKE,VIOLIN LAKE,12
EB,WAPITI,WAPITI,1
EB,WILD CREEK,UNK,1
GB,COWICHAN R,COWICHAN R,22
GB,UNKNOWN,UNKNOWN,2
GR,UNKNOWN,UNKNOWN,1
KO,BOUNDARY CREEK,BND,1
KO,BRIDGE,BRD,91
KO,CHILLIWACK LAKE,CHILLIWACK LAKE,6
KO,COTTONWOOD,CTN,1
KO,DEKA,DK,80
KO,DEKA/SULPHUROUS LAKES,UNK,15
KO,DOLLY VARDEN CREEK,DOLLY VARDEN CREEK,1
KO,EAGLE RIVER,EAGLE RIVER,2
KO,GREEN,GRN,9
KO,HILL CRK,HILL,107
KO,KIKOMUN CREEK,KIKOMUN CREEK,2
KO,KIKOMUN/MEADOW,KIKOMUN/MEADOW,4
KO,KOKANEE CREEK,KOK,1
KO,KOOTENAY,KOOTENAY,18
KO,LUSSIER R,LUS,130
KO,MEADOW CRK,MD,502
KO,MISSION CREEK,MISSION CREEK,20
KO,MISSION/MEADOW,MISSION/MEADOW,1
KO,NORBURY CRK,NB,159
KO,OKANAGAN RIVER,OKANAGAN RIVER,8
KO,OSILINKA R,OSILINKA R,7
KO,PALEFACE CREEK,PALEFACE CREEK,1
KO,PENNASK,PN,1
KO,SHUSWAP LAKE,SHUSWAP LAKE,5
KO,SULPHUROUS,UNK,54
KO,TYEE,TY,25
KO,UNKNOWN,UNKNOWN,14
KO,WHATSHAN,WHATSHAN,16
LT,BRIDGE,BRIDGE,2
LT,CUNNINGHAM LAKE,CUNNINGHAM LAKE,1
LT,JASPER,JASPER,3
LT,MOBERLY,MOBERLY,10
LT,OTTER LAKE,OTTER LAKE,1
LT,PREMIER,UNK,1
LT,SINMAX CREEK,SINMAX CREEK,7
LT,UNKNOWN,UNKNOWN,16
LW,UNKNOWN,UNKNOWN,36
MG,UNKNOWN,UNKNOWN,3
RB,ALKALI - 6 MILE,AK6,39
RB,BADGER,BGR,1469
RB,BADGER & BEAVER,BADGER & BEAVER,11
RB,BEAVER,BVR,4240
RB,"BEAVER,SPAHOMIN,PENN","BEAVER,SPAHOMIN,PENN",1
RB,BLACKWATER R,BW,5918
RB,BLACKWATER X TZEN DR,BW/TZ,7
RB,BOOTJACK LAKE,BOOT,14
RB,BOUCHIE CREEK,BOUCHIE CREEK,2
RB,BOULEAU LAKE,BOULEAU LAKE,2
RB,BW/DR X FV,BW/DR X FV,8
RB,BW/DR X PN/PN,BWxPN,12
RB,BW/DR X TZ/TK,BW/DR X TZ/TK,2
RB,BW/DR X TZ/TZ,BWxTZ,14
RB,BX CREEK,BX,31
RB,CARP LAKE,CL,77
RB,COTTONWOOD,CTN,143
RB,CULTUS LAKE,CULTUS LAKE,5
RB,DEAN RIVER,DEAN RIVER,9
RB,DINOSAUR,DINOSAUR,7
RB,DINOSAUR/WILLISTON,DINOSAUR/WILLISTON,6
RB,DRAGON,BW,1966
RB,DRAGON/PREMIER,BW,7
RB,DRAGON/TUNKWA/BEAVER,UNK,6
RB,DUNCAN RIVER,DCN,39
RB,DUNCAN/PREMIER,UNK,1
RB,FISH,FISH,5
RB,FRASER VALLEY,FV,11335
RB,FV x BW/DR,FV/BW,6
RB,FV X FV_CONTROL,FV,10
RB,FV x PN/PN,FV/PN,5
RB,FV x TZ/TZ,FV/TZ,6
RB,GENIER,UNK,130
RB,GERRARD,GRD,229
RB,GERRARD CREEK,GRD,1198
RB,GREEN,GRN,62
RB,HATHEUME,UNK,84
RB,HEFFLEY,HEFFLEY,1
RB,HORSEFLY R,HF,171
RB,HOTNARKO RIVER,HOTNARKO RIVER,4
RB,JIM SMITH,JIM SMITH,10
RB,KIAKHO,KKH,1
RB,KNOUFF,UNK,395
RB,KOOTENAY MOAT & PREMIER,KOOTENAY MOAT & PREMIER,1
RB,LAC DES ROCHES,LAC DES ROCHES,2
RB,LAC LE JEUNE,LAC LE JEUNE,3
RB,LLOYD CREEK,UNK,23
RB,LOON CREEK,UNK,207
RB,LOST LAGOON LAKE,LOST LAGOON LAKE,1
RB,MISSION CREEK,MISSION CREEK,5
RB,MURTLE LAKE,MURTLE LAKE,2
RB,NISKONLITH,UNK,27
RB,OYAMA,UNK,53
RB,PAUL,UNK,123
RB,PAUL CREEK,PAUL CREEK,20
RB,PAVILION,UNK,22
RB,PENNASK,PN,14886
RB,PETER HOPE,UNK,185
RB,PINANTAN,PTN,1321
RB,PN/PN X FV,PN/FV,13
RB,POSTILL,POSTILL,2
RB,POWELL LAKE,POWELL LAKE,1
RB,PREMIER,UNK,3785
RB,PREMIER/BEAVER,UNK,4
RB,PREMIER/DRAGON,UNK,1
RB,PREMIER/SPAHOMIN,UNK,2
RB,PREMIER/TUNKWA,UNK,3
RB,PUNTZI LAKE,PUNTZI LAKE,10
RB,REDS GARDEN,REDS GARDEN,2
RB,ROCHE,ROCHE,9
RB,ROSEBUD,ROSEBUD,1
RB,SALMON,SALMON,2
RB,SHERIDAN,UNK,163
RB,SHERIDAN/TUNKWA,SHERIDAN/TUNKWA,1
RB,SHUSWAP LAKE,SHUSWAP LAKE,3
RB,SPAHOMIN LAKE,UNK,396
RB,SPAHOMIN/PREMIER,SPAHOMIN/PREMIER,5
RB,STUMP,UNK,49
RB,TAPPEN CREEK,TAPPEN CREEK,2
RB,TAWEEL LAKE,TAWEEL LAKE,3
RB,TSUNIAH LAKE LAKE,TSUN,9
RB,TUNKWA,UNK,1784
RB,TUNKWA & PREMIER,UNK,8
RB,"TUNKWA,6 MILE,BADGER",UNK,2
RB,TZ/TZ X FV,TZ/FV,10
RB,TZENZAICUT,TZ,564
RB,TZENZAICUT X PENNASK,TZENZAICUT X PENNASK,2
RB,UNKNOWN,UNK,1314
RB,UPPER ARROW,UPPER ARROW,1
RB,VEITCH CREEK PONDS,VEITCH CREEK PONDS,2
RB,WEAVER CREEK,WEAVER CREEK,1
RB,WHITESWAN,WHITESWAN,1
RB,WILD CREEK,UNK,69
RB,WILLISTON LAKE RESERVOIR,WILLY,19
ST,ATNARKO RIVER,ATNARKO RIVER,1
ST,BELLA COOLA RIVER,BELLA COOLA RIVER,2
ST,BIG QUALICUM R,BIG QUALICUM R,56
ST,CAPILANO R,CAPILANO R,10
ST,CHEAKAMUS R,CHEAKAMUS R,8
ST,CHEHALIS R,CHEHALIS R,9
ST,CLUXEWE R,CLUXEWE R,6
ST,COQUIHALLA R,COQUIHALLA R,9
ST,COWICHAN R,COWICHAN R,37
ST,CULTUS LAKE,CULTUS LAKE,2
ST,ENGLISHMAN R,ENGLISHMAN R,1
ST,KANAKA CREEK,KANAKA CREEK,1
ST,KEOGH R,KEOGH R,7
ST,KITIMAT R,KITIMAT R,1
ST,LITTLE CAMPBELL R,LITTLE CAMPBELL R,2
ST,LITTLE QUALICUM R,LITTLE QUALICUM R,2
ST,MARSHALL CREEK,MARSHALL CREEK,1
ST,MEDOWSE CREEK,MEDOWSE CREEK,1
ST,NANAIMO RIVER,NANAIMO RIVER,9
ST,NORRISH CREEK,NORRISH CREEK,1
ST,PALLANT CREEK,PALLANT CREEK,1
ST,PUNTLEDGE R,PUNTLEDGE R,1
ST,QUATSE R,QUATSE R,5
ST,QUINSAM R,QUINSAM R,28
ST,SEYMOUR R,SEYMOUR R,1
ST,SILVERHOPE CREEK,SILVERHOPE CREEK,2
ST,SOOKE R,SOOKE R,1
ST,SOUTH ALOUETTE R,SOUTH ALOUETTE R,8
ST,STAMP/SOMASS R,STAMP/SOMASS R,36
ST,STAVE R,STAVE R,4
ST,SWELTZER RIVER,SWELTZER RIVER,2
ST,TSITIKA-KEOGH,TSITIKA-KEOGH,1
ST,TSITIKA R,TSITIKA R,36
ST,UNKNOWN,UNKNOWN,14
ST,VEDDER - CHILLIWACK R,VEDDER - CHILLIWACK R,39
ST,VEDDER/STAVE R,VEDDER/STAVE R,5
TR,JAMES LAKE,JAMES LAKE,1
TR,UNKNOWN,UNKNOWN,3
WCT,BEAVER CREEK,BEAVER CREEK,1
WCT,BLUE,BLUE,8
WCT,CONNOR,CNR,915
WCT,COOPER LAKE,COOPER LAKE,1
WCT,KIAKHO,KKH,348
WCT,MINERAL,MINERAL,4
WCT,MONROE,MO,37
WCT,PALMER BAR CREEK,PALMER BAR CREEK,14
WCT,PEAVINE CREEK,PV,27
WCT,ROSEBUD,ROSEBUD,11
WCT,SIX MILE LAKES,SIX MILE LAKES,2
WCT,UNKNOWN,UNK,64
WP,CHARLIE LAKE,CHARLIE LAKE,1
WSG,COLUMBIA R,COLUMBIA R,41
WSG,KOOTENAY R,KOOTENAY R,11
WSG,NECHAKO R,NECHAKO R,5
